时间,博主,内容,点赞,转发,评论,分词
"
                        2022年07月05日 19:00
                        ",大连晚报热线,"
 【“搜”试验！“雪糕刺客”高温下到底化不化？】近两天，十几元一根的“雪糕刺客”钟薛高在31摄氏度室温下放一小时不化的话题登上了热搜第一。不仅如此，雪糕价格一年高过一年也成为了市民热议话题。不化的雪糕敢放心吃吗？ 今日，“搜”记者在超市里买了几款不同的雪糕也做了一次试验看它 ​ ",赞, , 评论,试验 雪糕 刺客 高温 化不化 近两天 十几元 一根 雪糕 刺客 钟薛高 摄氏度 室温 下放 一小时 不化 话题 登上 了热 第一 不仅如此 雪糕 价格 一年 一年 市民 热议 话题 不化 雪糕 放心 今日 记者 超市 几款 雪糕 试验
"
                        2022年07月05日 18:58
                        ",第十九站Saii,"
 有一说一20年前后，梦龙也卖8块。那个时候热干面才1块，用消毒碗1块2。一根梦龙能过一个星期的早。现在钟薛高18，能过一个星期的早吗？现在房租什么价，人工什么价？你指望便利店小卖部继续卖5毛一根的冰棍，他一根赚多少，他能活下去吗？哈根达斯卖38耶没见你们反应这么大啊。 ​ ",4, , 7,有一 梦龙 热干面 消毒 一根 梦龙 星期 钟薛高 星期 房租 人工 指望 便利店 小卖部 一根 冰棍 一根 活下去 哈根达斯 没见
"
                        2022年07月05日 18:56
                        ",吉事发生好运子,"
 钟薛高根本不配 钟薛高滚出拆那 ",赞, , 评论,钟薛高 不配 钟薛高 滚出
"
                        2022年07月05日 18:55
                        ",三湘里手_湖南本地通,"
 化不掉的钟薛高，逃不出网红产品的生命周期 → ​ ",赞, , 评论,不掉 钟薛高 逃不出 网红 产品 生命周期
"
                        2022年07月05日 18:54
                        ",我的小小小猪呢,"
 无语了 有点良心吧 ",2, , 2,无语 良心
"
                        2022年07月05日 18:50
                        ",我是纸背上的痕,"
 肚子里有货，终于抽到不一样的了！是可爱的芝士 ​ ",1, , 2,肚子 有货 终于 抽到 可爱 芝士
"
                        2022年07月05日 18:49
                        ",_穹慈,"
 就没有看的很懂，这有什么好质疑的，去冰箱拿一支化一下不就知道了吗 ​ ",赞, , 评论,质疑 冰箱 一支
"
                        2022年07月05日 18:48
                        ",Rexzxxjt_,"
 钟薛高退出市场 求你 ",赞, , 评论,钟薛高 退出 市场
"
                        2022年07月05日 18:45
                        ",郑秋婷呐,"
 小胡鸭的酱板鸭真的好吃 钟薛高是真的不好吃 ​ ",2, , 2,小胡 板鸭 真的 好吃 钟薛高 真的 好吃
"
                        2022年07月05日 18:31
                        ",夏天的冰可乐85,"
 到底吃还是不吃 ​ ",1, , 2,不吃
"
                        2022年07月05日 18:29
                        ",特别爱红中,"
 退 / :奶生病要吃凉的 买最好的 那也不是这个价不配位的钟薛高/ :钟薛高退 ",赞, , 评论,生病 吃凉 配位 钟薛高 钟薛高
"
                        2022年07月05日 18:26
                        ",西伯利亚开胃菜,"
 钟薛高怎么还不死啊 ​ ",赞, , 1,钟薛高
"
                        2022年07月05日 18:23
                        ",好运来来阿福安康,"
 今天刚发现一个好吃的味道 然后就刷到打火机烤的视频 ​ ",赞, , 1,发现 好吃 味道 刷到 打火机 视频
"
                        2022年07月05日 18:17
                        ",那位十八,"
 今天会了盆友，打开了两样食物新味蕾：纳豆、钟薛高。，两个都好吃～ ​ ",1, , 评论,盆友 打开 两样 食物 味蕾 纳豆 钟薛高 两个 好吃
"
                        2022年07月05日 18:11
                        ",阿迪的飞行日记,"
 钟薛高的这波黑真的太反智了。微博本科率4%可能是真的。所以到底是蒙牛还是伊利买的黑。简直逆反到想买一箱子支持一下。 ​ ",4, , 12,钟薛高 波黑 真的 反智 本科 真的 蒙牛 伊利 逆反 想买 箱子 支持
"
                        2022年07月05日 18:10
                        ",XmasPrtdrx,"
 每天都要吃钟薛高 这个价位种确实还行 ​ ",1, , 评论,钟薛高 价位 确实
"
                        2022年07月05日 18:09
                        ",紫气东来天,"
 钟薛高雪糕最贵一支6元，创始人称:成本就40，你爱要不要。2019年，钟薛高曾因发布虚假广告被行政处罚0万元_新浪专题 ​ ",赞, , 评论,钟薛高 雪糕 最贵 一支 创始人 成本 钟薛高 发布 虚假 广告 行政处罚 万元 新浪 专题
"
                        2022年07月05日 18:09
                        ",高山流水豆腐,"
 钟薛高这个再转一次/ :也吃过，讲道理跟五毛一根的小布丁也没太大区别 ",赞, , 评论,钟薛高 讲道理 五毛 一根 布丁 区别
"
                        2022年07月05日 18:08
                        ",新腕儿,"
 【冰柜，便利店的老虎机】 这个月，钟薛高上了两次热搜。说来说去，是因为贵。 ​ ",赞, , 评论,冰柜 便利店 老虎机 钟薛高 两次 说来说去 是因为
"
                        2022年07月05日 18:05
                        ",印小果儿,"
 谁说钟薛高不会化 是我点太背？ ​ ",赞, , 评论,钟薛高
"
                        2022年07月05日 18:03
                        ",紫气东来天,"
 钟薛高吃不化，真相越扒越可怕. ​ ",赞, , 评论,钟薛高 不化 真相 可怕
"
                        2022年07月05日 18:01
                        ",小二倒茶呀,"
 一个小时也太离谱了吧 ",赞, , 评论,一个小时 离谱
"
                        2022年07月05日 18:00
                        ",一隻黄肉肉,"
 钟薛高最近这么火。然后我看了下，我18年就慕名从淘宝买了，吃完之后不管是超市还是哪里，我都没买过第二次 ​ ",赞, , 评论,钟薛高 慕名 淘宝 超市 没买 第二次
"
                        2022年07月05日 17:54
                        ",moya_eileen_ccc,"
 钟薛高怎么还没倒闭 ",2, , 评论,钟薛高 倒闭
"
                        2022年07月05日 17:51
                        ",YukiMikuru,"
 原来钟薛高是用胶的啊，虽然可食用的胶也没啥问题，但是用胶了还那么贵啊。 现在还是营销最赚钱啊，只要你营销好了，什么垃圾都能卖得很贵，当然钟薛高不算垃圾。 ​ ",赞, , 评论,钟薛高 用胶 可食用 营销 赚钱 营销 垃圾 很贵 钟薛高 不算 垃圾
"
                        2022年07月05日 17:37
                        ",海风钩藤边扬灵一已和刘畅结婚,"
 说起钟薛高，想起去年夏天一个事儿，那时候我有一个略微暧昧的对象，他没钱所以让我请他吃冰淇淋，说要巧克力的，我给他买了香草味的巧乐兹，他拿了就开吃然后一边跟我聊天，说你吃过钟薛高吗？我说没有诶，他嗤笑一声说，你连钟薛高都没吃过啊，老好吃了，我以前经常吃，你居然没吃过 我… 过了没 ​ ",赞, , 评论,说起 钟薛高 想起 去年 夏天 事儿 暧昧 对象 没钱 冰淇淋 巧克力 香草 巧乐兹 聊天 钟薛高 嗤笑 一声 钟薛高 没吃过 好吃 没吃过
"
                        2022年07月05日 17:32
                        ",镇江民生频道,"
 【钟薛高添加剂超标？！31℃！放一个小时！都不化！】这两天，“钟薛高31℃室温下放1小时不化”冲上热搜，引起不少人关注。这让不少消费者担心：雪糕不会融化，是否由于添加了大量防腐剂、凝固剂所致？会不会给消费者带来健康威胁？今天，记者采访到了相关专业人士，一起来听一听。 ​ ",2, , 评论,钟薛高 添加剂 超标 一个小时 不化 两天 钟薛高 室温 下放 1小时 不化 上热 关注 消费者 担心 雪糕 融化 添加 防腐剂 凝固剂 所致 消费者 带来 健康 威胁 记者 采访 相关 专业人士
"
                        2022年07月05日 17:30
                        ",_uuuuuur_,"
 刺客！钟薛高，给我退！ 🤣 ​ ",赞, , 评论,刺客 钟薛高
"
                        2022年07月05日 17:17
                        ",懂上海,"
 网友:本以为避开了所有对钱包不利的可能性，没想到还是遇上了雪糕里的刺客… 现在不单有话梅刺客还有雪糕刺客，真是太难了！ 有次我也是避开了钟薛高 ，避开了梦龙，在一个不起眼的角落，随便拿了一根，结果25块钱…我一直安慰自己说吃了对身体好 #上海一顾客遇话梅刺客2颗话梅竟要 ​ ",5, , 评论,网友 避开 钱包 不利 可能性 没想到 遇上 雪糕 刺客 话梅 刺客 雪糕 刺客 真是太 有次 避开 钟薛高 避开 了梦龙 不起眼 角落 随便 一根 块钱 安慰 身体 上海 顾客 话梅 刺客 话梅
"
                        2022年07月05日 17:08
                        ",用户264527654321,"
 和两天怎么这么多关于钟薛高与老人的故事 我看一个哭一个 ​ ",赞, , 评论,两天 钟薛高 老人 故事
"
                        2022年07月05日 17:06
                        ",手持雾灯,"
 我很早就吃了 原味的 不奶 这牌子伊利蒙牛的边都够不到 可以买来试 但我还是推荐小布丁 ",赞, , 评论,早就 原味 不奶 牌子 伊利 蒙牛 的边 不到 买来 推荐 布丁
"
                        2022年07月05日 17:06
                        ",小琴拿铁,"
 就蛮下头的，嫌雪糕贵就别买啊，好像有谁强迫你付款一样 一堆人恨一个雪糕干啥，便利店里比钟薛高贵的多了去了 闲的就找班上啊 ​ ",31, , 9,下头 雪糕 就别 好像 强迫 付款 一堆 雪糕 便利店 钟薛高 班上
"
                        2022年07月05日 17:05
                        ",锦林想成为锦鲤儿,"
 / :呆怎么变成了？ / :圣晶石和雪糕，孰贵？/ :钟薛高：你就是我的吗，认识下，我就是刺客。 ",赞, , 评论,晶石 雪糕 钟薛高 刺客
"
                        2022年07月05日 16:57
                        ",阿鱼有一株幸运草,"
 钟薛高，每次我脑子里都会念成薛钟高。 ​ ",赞, , 2,钟薛高 每次 脑子里 念成 薛钟高
"
                        2022年07月05日 16:53
                        ",我的微博是吃博,"
 放一个小时都不化的雪糕 而且又难吃，火的莫名其妙 ​ ",赞, , 1,一个小时 不化 雪糕 难吃 莫名其妙
"
                        2022年07月05日 16:44
                        ",人呢都会犯傻,"
 这也太恶心了吧，能吃吗 ",2, , 评论,恶心
"
                        2022年07月05日 16:44
                        ",蝶影九十一,"
 我是钟薛高，我化不了 ​ ",赞, , 评论,钟薛高
"
                        2022年07月05日 16:43
                        ",你吃不吃米线,"
 相对于钟薛高 我还是更爱中街 ​ ",赞, , 评论,钟薛高 中街
"
                        2022年07月05日 16:43
                        ",改各名字吧,"
 继副总裁林盛扬言“我们的成本就要4元，你爱要不要”之后，钟薛高管又被爆出：在培训员工时，无端拉踩和侮辱女性。据曝出的聊天记录，负责新人培训的副总裁，一上来就猖狂地问大家：为什么那些奢侈品牌敢卖这么 ​ ",2, , 评论,副总裁 林盛 扬言 成本 钟薛高 爆出 培训 员工 无端 侮辱 女性 曝出 聊天记录 负责 新人 培训 副总裁 猖狂 地问 奢侈 品牌
"
                        2022年07月05日 16:42
                        ",中国食品报,"
 发布了头条文章： 近日，“钟薛高31度室温下放1小时不化”的消息冲上热搜，对此，钟薛高方面回应：首先，并不存在不融化的雪糕，因为这款产品配方中主要成分为牛奶，稀奶油等，产品本身固形物含量达到40%左右，除原料本身含少量水外，配方未额外添加饮用水 ​ ",3, , 评论,发布 头条 文章 近日 钟薛高 31度 室温 下放 1小时 不化 消息 上热 对此 钟薛高 回应 融化 雪糕 这款 产品 配方 成分 牛奶 奶油 产品 固形物 含量 原料 少量 水外 配方 额外 添加 饮用水
"
                        2022年07月05日 16:37
                        ",超级妹宝_,"
 钟薛高除了海盐和原味还有好吃的口味吗。 ​ ",1, , 评论,钟薛高 海盐 原味 好吃 口味
"
                        2022年07月05日 16:33
                        ",卢迦卡瓦,"
 笑死了钟薛高的包装袋是不是抄了套专辑封面那个花啊 ​ ",赞, , 评论,钟薛高 包装袋 专辑 封面
"
                        2022年07月05日 16:29
                        ",荔湾科技频道,"
 雪糕刺客退！都来平价流水线上解压|钟薛高|雪莲|冰激凌|巧克力|冰棍_网易订阅 雪糕刺客退！都来平价流水线上解压,钟薛高,雪莲,雪糕,刺客,冰激凌,巧克力,冰棍 （分享自 ） ​ ",1, , 评论,雪糕 刺客 平价 流水线 解压 钟薛高 雪莲 冰激凌 巧克力 冰棍 网易 订阅 雪糕 刺客 平价 流水线 解压 钟薛高 雪莲 雪糕 刺客 冰激凌 巧克力 冰棍 分享
"
                        2022年07月05日 16:26
                        ",闲谭梦落花_,"
 妈的，想起来去年好像说有，取消了给我整麻了。我想去/ :呆怎么变成了？ / :圣晶石和雪糕，孰贵？/ :钟薛高：你就是我的吗，认识下，我就是刺客。 ",赞, , 评论,去年 好像 取消 整麻 晶石 雪糕 钟薛高 刺客
