评论内容,fenci,主题概率,主题类型
不建议住，还是住酒店好，！环境不怎么好,建议 酒店 环境,"[(0, 0.017857466), (1, 0.01785759), (2, 0.017857509), (3, 0.017857512), (4, 0.017857442), (5, 0.017857552), (6, 0.017857501), (7, 0.017857531), (8, 0.017857501), (9, 0.0178575), (10, 0.7678523), (11, 0.017857559), (12, 0.017857548), (13, 0.017857492)]",10
位置非常好,位置,"[(0, 0.5357098), (1, 0.035714503), (2, 0.035714544), (3, 0.035714585), (4, 0.035714503), (5, 0.03571457), (6, 0.035714798), (7, 0.03571462), (8, 0.035714556), (9, 0.035714716), (10, 0.035714913), (11, 0.035714574), (12, 0.035714652), (13, 0.035714682)]",0
可以的，交通便利,交通 便利,"[(0, 0.023809886), (1, 0.023809968), (2, 0.02380989), (3, 0.023809863), (4, 0.023809971), (5, 0.0238099), (6, 0.023809912), (7, 0.02380987), (8, 0.023809891), (9, 0.023809893), (10, 0.02380989), (11, 0.023809923), (12, 0.023809906), (13, 0.6904713)]",13
环境特别好！住宿很满意！,环境 住宿 满意,"[(0, 0.017857468), (1, 0.017857607), (2, 0.017857514), (3, 0.01785753), (4, 0.017857535), (5, 0.01785748), (6, 0.017857458), (7, 0.01785749), (8, 0.017857548), (9, 0.01785748), (10, 0.7678523), (11, 0.01785754), (12, 0.01785754), (13, 0.017857542)]",10
网上订的3间房，开盲盒好惊喜间单人床，2间复式双人床，卫生很干净，马桶超级智能，双人房间住了5个人都可以，房间很大，老板人非常贴心，有问题都可以微信解决，这里交通很方便，去橘子洲，五一广场，国金中心都超级方便，我租了个电动车就可以到，,间房 开盲 惊喜 单人床 复式 卫生 干净 马桶 智能 双人 房间 房间 很大 老板 贴心 解决 交通 国金 中心 电动车,"[(11, 0.9557779)]",11
房间很不错，一家四口住很舒服，两张床都很大，床品很卫生，在张家界过来衣服都换差不多了，入住就有洗衣机可以洗衣服，太方便了，茶颜悦色外卖送到家 ，不用排大长队，离着五一广场步行也就10几分钟吧，地铁站500米！,房间 不错 舒服 两张床 很大 床品 卫生 衣服 入住 洗衣机 洗衣服 外卖 送到 不用 排大 长队 步行 地铁站,"[(10, 0.9511241)]",10
没入住前很期待，入住后，发现值不了那个价格。 设施一般，尤其是空调，一点都不冰，二楼两个房间就一个空调，关键还不凉快。开到16度风强劲，那声音像台风一样呼呼的……,入住 期待 入住 发现 价格 设施 空调 不冰 二楼 房间 空调 关键 凉快 开到 强劲 声音 呼呼,"[(6, 0.9484092)]",6
住的很舒服，很温馨，和老公一起出行，他晚上10点就睡了一觉到7点，我是十二点睡的一觉到7点，睡的很舒服，平时我是很容易醒的，在这里很放松，很舒适。,舒服 出行 觉到 觉到 舒服 放松 舒适,"[(7, 0.88392323)]",7
房间很好，很喜欢的房型，有茶台和榻榻米，服务也很好，还有智能马桶。卫生也很干净，关键服务好，因为带着小孩，所以还允许我免费延时退费。特别适合亲子住，强烈推荐。,房间 喜欢 房型 茶台 榻榻米 智能 马桶 卫生 干净 关键 小孩 退费 适合 亲子,"[(12, 0.9380884)]",12
房间跟预订图片是一样的，两个人住很方便。地理位置很好，离地铁站也不远，走路10分钟，离市中心也很近，骑个小车车就能到黄兴广场，非常方便。,房间 预订 图片 地理位置 地铁站 走路 市中心 小车 广场,"[(4, 0.9071366)]",4
在市中心比较好的位置的民宿，适合情侣出游。不过服务基本没有（可能民宿都这样），其他整体来说还是很不错的，在长沙市中心能够花这个价钱住到，值得推荐,市中心 位置 民宿 适合 情侣 民宿 整体 不错 中心 价钱 值得 推荐,"[(8, 0.9285671)]",8
服务非常好。适合一家四口出行。很哇塞！位置也好，周边有很多有特色的小吃，也有适合我们吃不了太辣的杀猪粉，强烈推荐，好吃，好吃，非常好吃！,适合 出行 位置 特色 小吃 适合 太辣 杀猪 好吃 好吃 好吃,"[(6, 0.9226156)]",6
卫生就那样吧，老污渍比较多，房间的垃圾需要自己收了丢掉。淋浴的地方跟马桶那边少了个隔断。楼下便利店很方便，去周边玩的地方也很方便。,卫生 污渍 房间 垃圾 丢掉 淋浴 地方 马桶 隔断 便利店 地方,"[(10, 0.9226138)]",10
房间干净卫生，比较新，离地铁口，商业街，国金都很近出行很方便！超级满意，订到比较哇塞的酒店 已经推荐要来长沙的小伙伴了,房间 干净 卫生 地铁口 商业街 国金 出行 满意 酒店 推荐 小伙伴,"[(10, 0.9226148)]",10
总体感觉还不错！服务态度很好也可以及时回复！设施基本齐全！但是地段不太近五一广场还是有一点距离的！楼下几百米内没什么大型超市之类的东西,总体 感觉 不错 服务态度 回复 设施 地段 距离,"[(13, 0.89682114)]",13
酒店位置很方便，离芙蓉广场5号出口步行大概七八分钟。全程线上入住退房，特别方便。酒店的房间干净，床睡得很舒服。推荐入住！,酒店 位置 芙蓉 广场 步行 全程 入住 退房 酒店 房间 干净 舒服 推荐 入住,"[(12, 0.9380925)]",12
环境：位置很好找，停车很方便。周边方便吃吃喝喝服务：管家比较周到，回复及时卫生：还可以，浴室还配有宝宝金水，很细心,环境 位置 好找 停车 管家 周到 回复 卫生 浴室 配有 金水 细心,"[(12, 0.9285668)]",12
房间挺好的，一家人或三五好友出来旅游居住很合适。服务态度也很棒很及时回应。位置出去游玩很方便，走出去500米就是地铁站。,房间 一家人 好友 居住 合适 服务态度 很棒 回应 位置 游玩 地铁站,"[(2, 0.5649688), (9, 0.36359182)]",2
老板人很好，房间楼上楼下的空调都很给力，离地铁站很近，出行比较方便。楼下有便利店，路口有早点铺还有好多家餐馆。,老板 房间 楼上楼下 空调 地铁站 出行 便利店 餐馆,"[(6, 0.8968197)]",6
房东非常和蔼、大中午外面排队买茶颜，延迟一丢丢退房，二话没说，就答应了，态度非常好。值得推荐的名宿。,房东 排队 买茶 延迟 退房 答应 态度 值得 推荐 名宿,"[(8, 0.9155617)]",8
酒店房间设施齐全，环境好，客服小姐姐也很耐心很好！很不错的一家店，下次来长沙也会选择住这家店。,酒店 房间 设施 环境 客服 耐心 不错 选择,"[(11, 0.89681995)]",11
房间干净整洁，出行很方便，离地铁口近，去五一广场打的坐地铁都很快。晚上回来路边有很多夜宵摊。,房间 干净 整洁 出行 地铁口 回来,"[(0, 0.010204525), (1, 0.010204517), (2, 0.010204512), (3, 0.0102045825), (4, 0.010204553), (5, 0.010204509), (6, 0.010204674), (7, 0.01020458), (8, 0.010204595), (9, 0.010204557), (10, 0.010204529), (11, 0.86734074), (12, 0.010204553), (13, 0.010204535)]",11
卫生：干净 服务：客服能够及时回复信息 设施：交通便利 环境：视野开阔,卫生 干净 客服 回复 信息 设施 交通 便利 环境 视野 开阔,"[(1, 0.9226146)]",1
环境：高级设施：完善服务：建议提前下高铁前致电客服。,环境 设施 完善 建议 提前 高铁 致电 客服,"[(11, 0.89681304)]",11
服务人员缺乏主动性，入住都是到了楼下联系了才知道住的房间，而且和预订信息不符合,人员 缺乏 入住 房间 预订 信息 符合,"[(5, 0.883921)]",5
房间整体整洁明亮，可以看城市夜景，有晾衣架衣服撑子，周边交通便捷，生活方便,房间 整体 整洁 明亮 夜景 晾衣架 衣服 撑子 交通 便捷,"[(3, 0.11815251), (13, 0.803915)]",13
房间挺好的，服务也不错，线上办理入住和退房真的是社恐福音了,房间 不错 办理 入住 退房 社恐 福音,"[(2, 0.88391715)]",2
总体来说还可以吧，无接触办理入住，交通比较方便，地铁口走过去5-6分钟路程,总体 接触 办理 入住 交通 地铁口 路程,"[(13, 0.8839133)]",13
卫生：很好， 设施：房间设备齐全 环境：楼下就是公交车站，离米粉街就几百米,卫生 设施 房间 环境 公交车站,"[(0, 0.35820484), (1, 0.011905847), (2, 0.01190584), (3, 0.011905799), (4, 0.0119057875), (5, 0.011905789), (6, 0.011905784), (7, 0.011905795), (8, 0.011905813), (9, 0.011905798), (10, 0.011905801), (11, 0.49892548), (12, 0.01190584), (13, 0.011905805)]",11
房间也还可以，自助式公寓还不是很适应，暑假高峰期阿姨打扫有点含糊,房间 公寓 高峰期 打扫 含糊,"[(0, 0.011906264), (1, 0.011906272), (2, 0.01190632), (3, 0.011906262), (4, 0.011906259), (5, 0.011906248), (6, 0.011906253), (7, 0.0119062755), (8, 0.011906264), (9, 0.011906265), (10, 0.011906303), (11, 0.011906264), (12, 0.011906264), (13, 0.84521854)]",13
距离地铁站步行还是有十来分钟，房间设施也对得起这个价格,距离 地铁站 步行 房间 设施 对得起 价格,"[(10, 0.8839232)]",10
房间很新，唯一不足的是希望二楼矮有尖头的贴上防撞条！,房间 希望 二楼 尖头 贴上,"[(0, 0.011905781), (1, 0.8452249), (2, 0.011905796), (3, 0.011905774), (4, 0.011905773), (5, 0.011905754), (6, 0.011905787), (7, 0.011905776), (8, 0.011905774), (9, 0.011905759), (10, 0.01190579), (11, 0.011905787), (12, 0.011905784), (13, 0.011905781)]",1
位置很好找，交通很方便，房间环境好，住得很舒服,位置 好找 交通 房间 环境 舒服,"[(0, 0.010204366), (1, 0.0102043655), (2, 0.010204338), (3, 0.01020435), (4, 0.010204364), (5, 0.010204345), (6, 0.010204361), (7, 0.0102043655), (8, 0.010204351), (9, 0.010204359), (10, 0.01020436), (11, 0.010204379), (12, 0.86734325), (13, 0.010204429)]",12
房间整洁干净，出行超方便，投影电视孩子放心看,房间 整洁 干净 出行 投影 电视 孩子 放心,"[(3, 0.89681894)]",3
距离五一广场和国金中心还是有点距离，其他都很棒,距离 国金 中心 距离 很棒,"[(0, 0.011905324), (1, 0.011905333), (2, 0.01190534), (3, 0.011905317), (4, 0.011905336), (5, 0.011905292), (6, 0.011905335), (7, 0.011905318), (8, 0.011905303), (9, 0.011905324), (10, 0.0119054075), (11, 0.84523076), (12, 0.01190531), (13, 0.011905335)]",11
就是入住前最好打电话问一下，自助住房没有前台的,入住 自助 住房 前台,"[(0, 0.014287107), (1, 0.014287077), (2, 0.014287132), (3, 0.014287111), (4, 0.01428708), (5, 0.014287129), (6, 0.014287077), (7, 0.014287134), (8, 0.014287044), (9, 0.014287119), (10, 0.014287132), (11, 0.014287052), (12, 0.8142677), (13, 0.014287074)]",12
满意的，店主人也很好。长沙之旅很愉快～,满意 店主人 愉快,"[(0, 0.01785931), (1, 0.017859297), (2, 0.017859323), (3, 0.017859304), (4, 0.01785936), (5, 0.017859418), (6, 0.017859543), (7, 0.017859314), (8, 0.0178593), (9, 0.01785929), (10, 0.017859317), (11, 0.017859312), (12, 0.01785932), (13, 0.7678286)]",13
房间很满意～楼下购物很方便，离五一广场也很近～,房间 满意 购物,"[(0, 0.017858136), (1, 0.017858097), (2, 0.017858105), (3, 0.017858127), (4, 0.76784426), (5, 0.017858073), (6, 0.017858163), (7, 0.017858129), (8, 0.017858127), (9, 0.01785813), (10, 0.017858157), (11, 0.017858116), (12, 0.017858122), (13, 0.017858252)]",4
房间很好！空调很给力！周边附近逛街打卡很方便,房间 空调 逛街 打卡,"[(0, 0.014286284), (1, 0.014286242), (2, 0.014286268), (3, 0.014286248), (4, 0.014286282), (5, 0.014286299), (6, 0.0142864045), (7, 0.014286278), (8, 0.014286297), (9, 0.81427824), (10, 0.014286263), (11, 0.01428629), (12, 0.0142863095), (13, 0.014286315)]",9
设施：很好 卫生：很好 环境：很好 服务：很好,设施 卫生 环境,"[(0, 0.017857285), (1, 0.76785505), (2, 0.017857304), (3, 0.017857283), (4, 0.017857263), (5, 0.017857272), (6, 0.017857255), (7, 0.017857278), (8, 0.017857295), (9, 0.017857287), (10, 0.017857265), (11, 0.017857498), (12, 0.017857352), (13, 0.017857287)]",1
住的非常舒服。非常不错的体验，离国金中心也很近,舒服 不错 体验 中心,"[(0, 0.014286176), (1, 0.014286199), (2, 0.014286184), (3, 0.014286224), (4, 0.014286211), (5, 0.014286204), (6, 0.014286249), (7, 0.8142791), (8, 0.014286231), (9, 0.014286214), (10, 0.014286221), (11, 0.014286376), (12, 0.014286221), (13, 0.014286278)]",7
房间 环境 卫生方面需要加油 出行方便,房间 环境 卫生 加油 出行,"[(0, 0.011905556), (1, 0.011905601), (2, 0.011905544), (3, 0.011905583), (4, 0.01190554), (5, 0.011905548), (6, 0.011905675), (7, 0.011905586), (8, 0.0119056115), (9, 0.011905575), (10, 0.011905545), (11, 0.011905596), (12, 0.011905609), (13, 0.8452274)]",13
房间很舒服，跟家里差不多。附近交通也方便,房间 舒服 交通,"[(0, 0.01785735), (1, 0.017857367), (2, 0.017857326), (3, 0.017857343), (4, 0.01785742), (5, 0.017857334), (6, 0.017857337), (7, 0.017857384), (8, 0.01785735), (9, 0.017857334), (10, 0.017857365), (11, 0.017857384), (12, 0.017857369), (13, 0.76785433)]",13
特别好！有家家里的感觉！睡得很安稳,感觉 安稳,"[(0, 0.023810245), (1, 0.02381017), (2, 0.02381031), (3, 0.023810193), (4, 0.023810266), (5, 0.690467), (6, 0.023810174), (7, 0.023810234), (8, 0.023810234), (9, 0.023810169), (10, 0.023810204), (11, 0.023810253), (12, 0.023810288), (13, 0.023810303)]",5
服务：很好 卫生：很好 设施：很好,卫生 设施,"[(0, 0.023809744), (1, 0.023809828), (2, 0.023809753), (3, 0.023809716), (4, 0.023809694), (5, 0.023809684), (6, 0.023809668), (7, 0.023809709), (8, 0.023809737), (9, 0.023809724), (10, 0.023809697), (11, 0.6904735), (12, 0.023809835), (13, 0.023809735)]",11
很满意，干净卫生整洁温馨，家的感觉。,满意 干净 卫生 整洁 感觉,"[(0, 0.011904999), (1, 0.011904972), (2, 0.011904966), (3, 0.011905026), (4, 0.011905044), (5, 0.01190494), (6, 0.011904928), (7, 0.011904958), (8, 0.011904977), (9, 0.011904977), (10, 0.011904994), (11, 0.011905005), (12, 0.84523517), (13, 0.011905009)]",12
房间宽敞明亮 设施完善，很棒的体验,房间 设施 完善 很棒 体验,"[(0, 0.011905025), (1, 0.011905016), (2, 0.011905039), (3, 0.011905035), (4, 0.01190501), (5, 0.01190504), (6, 0.011905062), (7, 0.011905063), (8, 0.011905077), (9, 0.011905085), (10, 0.011905092), (11, 0.8452343), (12, 0.011905052), (13, 0.011905088)]",11
房间风格很不错，很平净，往得很舒服！,房间 风格 不错 平净 舒服,"[(0, 0.011905502), (1, 0.011905513), (2, 0.011905493), (3, 0.011905498), (4, 0.011905494), (5, 0.011905479), (6, 0.0119054895), (7, 0.8452285), (8, 0.011905504), (9, 0.0119054755), (10, 0.011905499), (11, 0.011905525), (12, 0.011905493), (13, 0.011905535)]",7
离地铁站有点距离，无接触入住,地铁站 距离 接触 入住,"[(0, 0.0142864995), (1, 0.014286373), (2, 0.014286411), (3, 0.014286356), (4, 0.014286365), (5, 0.014286369), (6, 0.814277), (7, 0.014286361), (8, 0.0142863365), (9, 0.014286373), (10, 0.0142863905), (11, 0.014286395), (12, 0.014286332), (13, 0.014286388)]",6
好好好很好的啦卫生也好满意的,卫生 满意,"[(0, 0.023810063), (1, 0.023810117), (2, 0.023809955), (3, 0.02380994), (4, 0.6904698), (5, 0.023809843), (6, 0.023809774), (7, 0.023809915), (8, 0.023809988), (9, 0.023809936), (10, 0.023809925), (11, 0.023810094), (12, 0.023810178), (13, 0.023810497)]",4
位置很好、楼下便利店吃饭的地方都有,位置 便利店 吃饭 地方,"[(0, 0.014286585), (1, 0.014286548), (2, 0.014286468), (3, 0.014286508), (4, 0.0142864855), (5, 0.014286488), (6, 0.014286531), (7, 0.014286496), (8, 0.014286531), (9, 0.014286496), (10, 0.81427526), (11, 0.014286508), (12, 0.014286576), (13, 0.014286506)]",10
干净整洁，环境安静，店家热情周到,干净 整洁 环境 店家,"[(0, 0.014285966), (1, 0.014286145), (2, 0.014285937), (3, 0.014286008), (4, 0.014285936), (5, 0.014285937), (6, 0.014285926), (7, 0.014285963), (8, 0.0142859565), (9, 0.81428236), (10, 0.014285948), (11, 0.014285998), (12, 0.014285978), (13, 0.014285961)]",9
